Longitude,Latitude,Date,CMAQ_O3
-109.77466,45.70358,2005-05-22,48.7706
-109.79632,45.81029,2005-05-22,49.0587
-109.81805,45.91697,2005-05-22,48.9187
-109.83986,46.02361,2005-05-22,48.5956
-109.86174,46.13023,2005-05-22,48.511
-109.88369,46.23682,2005-05-22,47.9633
-109.90572,46.34338,2005-05-22,47.4872
-109.92783,46.44991,2005-05-22,47.8958
-109.95,46.55641,2005-05-22,47.7781
-109.97226,46.66288,2005-05-22,48.0801
-109.99459,46.76931,2005-05-22,47.4656
-110.017,46.87572,2005-05-22,47.0024
-110.03948,46.98209,2005-05-22,46.7861
-110.06205,47.08843,2005-05-22,46.6238
-110.08469,47.19473,2005-05-22,46.0645
-110.10741,47.30101,2005-05-22,46.1143
-110.1302,47.40724,2005-05-22,46.2735
-110.15308,47.51345,2005-05-22,46.2551
-110.17603,47.61961,2005-05-22,45.9138
-110.19907,47.72575,2005-05-22,45.7749
-110.22218,47.83184,2005-05-22,45.4904
-110.24538,47.9379,2005-05-22,45.1899
-110.26865,48.04392,2005-05-22,45.1697
-110.29201,48.14991,2005-05-22,44.7168
-110.31544,48.25586,2005-05-22,44.5884
-110.33897,48.36177,2005-05-22,44.6205
-110.36257,48.46764,2005-05-22,44.3058
-110.38625,48.57347,2005-05-22,44.2237
-110.41003,48.67926,2005-05-22,44.2151
-110.43388,48.78502,2005-05-22,44.0334
-110.45782,48.89073,2005-05-22,43.9431
-110.48184,48.9964,2005-05-22,43.835
-110.50595,49.10204,2005-05-22,43.365
-110.53014,49.20763,2005-05-22,43.1578
-110.55443,49.31318,2005-05-22,43.1855
-110.5788,49.41868,2005-05-22,43.0644
-110.60325,49.52414,2005-05-22,42.9246
-110.62779,49.62956,2005-05-22,42.8943
-110.65242,49.73494,2005-05-22,42.7899
-110.67714,49.84027,2005-05-22,42.5484
-110.70194,49.94556,2005-05-22,42.26
-110.72684,50.0508,2005-05-22,40.4262
-110.75183,50.156,2005-05-22,41.9438
-110.77691,50.26115,2005-05-22,42.2825
-110.80208,50.36626,2005-05-22,42.6053
-110.82733,50.47131,2005-05-22,42.9467
-110.85268,50.57632,2005-05-22,43.089
-106.50929,25.07477,2005-05-22,45.3096
-106.52148,25.1797,2005-05-22,47.2108
-106.53368,25.28468,2005-05-22,46.2423
-106.54593,25.3897,2005-05-22,46.7482
-106.5582,25.49476,2005-05-22,48.0295
-106.57051,25.59986,2005-05-22,50.1395
-106.58285,25.705,2005-05-22,52.7226
-106.59521,25.81018,2005-05-22,54.706
-106.60761,25.9154,2005-05-22,55.3512
-106.62005,26.02066,2005-05-22,55.8995
-106.63251,26.12597,2005-05-22,56.2051
-106.645,26.23131,2005-05-22,55.9991
-106.65754,26.33669,2005-05-22,55.7384
-106.6701,26.44211,2005-05-22,55.5751
-106.68269,26.54756,2005-05-22,55.3569
-106.69532,26.65306,2005-05-22,55.0057
-106.70798,26.75859,2005-05-22,54.8026
-106.72067,26.86417,2005-05-22,54.5265
-106.7334,26.96978,2005-05-22,54.4901
-106.74615,27.07542,2005-05-22,54.4741
-106.75895,27.1811,2005-05-22,54.2849
-106.77177,27.28682,2005-05-22,53.829
-106.78464,27.39258,2005-05-22,53.6572
-106.79753,27.49837,2005-05-22,53.7619
