id,lon,lat,rate,cmaq
343,-108.06825,35.92844,0.56088240349671,54.8193
344,-108.08453,36.03601,0.564235258488033,55.147
345,-108.10087,36.14359,0.570262621549946,55.7361
346,-108.11724,36.25118,0.596577980224601,58.3081
347,-108.13367,36.35877,0.601380635497495,58.7775
348,-108.15015,36.46637,0.625191328618669,61.1047
349,-108.16667,36.57398,0.684141006122516,66.8663
350,-108.18324,36.68159,0.685730977638084,67.0217
351,-108.19987,36.78921,0.678618054873457,66.3265
352,-108.21654,36.89684,0.623206422093442,60.9107
353,-108.23325,37.00446,0.606383827718299,59.2665
354,-108.25002,37.1121,0.593407245522706,57.9982
355,-108.26685,37.21974,0.560780088727368,54.8093
356,-108.28371,37.32738,0.5707670333628,55.7854
357,-108.30064,37.43502,0.5777909422781,56.4719
358,-108.3176,37.54268,0.570397677045477,55.7493
359,-108.33463,37.65033,0.558678543365092,54.6039
360,-108.3517,37.75798,0.554086656517041,54.1551
361,-108.36883,37.86564,0.559342566218119,54.6688
362,-108.386,37.9733,0.562998272926693,55.0261
363,-108.40323,38.08096,0.562636078643224,54.9907
364,-108.42051,38.18862,0.567853108731952,55.5006
365,-108.43784,38.29628,0.583780448875356,57.0573
366,-108.45522,38.40395,0.576390253085813,56.335
367,-108.47266,38.51161,0.592123195167469,57.8727
368,-108.49015,38.61927,0.605571448449727,59.1871
369,-108.50769,38.72693,0.590703066169008,57.7339
370,-108.52528,38.83459,0.599794756572701,58.6225
371,-108.54294,38.94224,0.607743591002848,59.3994
372,-108.56064,39.0499,0.627249901777821,61.3059
373,-108.5784,39.15755,0.610992084929444,59.7169
374,-108.59621,39.2652,0.603648953933798,58.9992
375,-108.61407,39.37284,0.600549839570442,58.6963
376,-108.632,39.48049,0.594206323871263,58.0763
377,-108.64997,39.58813,0.595489351078807,58.2017
378,-108.668,39.69576,0.598446247912779,58.4907
379,-108.68609,39.80339,0.594140842418885,58.0699
380,-108.70423,39.91101,0.588067437710768,57.4763
381,-108.72243,40.01863,0.591540000982222,57.8157
382,-108.74068,40.12624,0.601490112300691,58.7882
383,-108.759,40.23384,0.606046188979472,59.2335
384,-108.77737,40.34144,0.606936327472743,59.3205
385,-108.79579,40.44903,0.587234595488328,57.3949
386,-108.81428,40.55662,0.578671872442131,56.558
387,-108.83282,40.66419,0.575620846020365,56.2598
388,-108.85142,40.77176,0.577564826637855,56.4498
389,-108.87007,40.87931,0.583021273286842,56.9831
390,-108.88879,40.98686,0.583322078708706,57.0125
391,-108.90756,41.0944,0.580147251416036,56.7022
392,-108.9264,41.20193,0.576593859476803,56.3549
393,-108.94529,41.30945,0.578649363192876,56.5558
394,-108.96424,41.41695,0.601632329830076,58.8021
395,-108.98325,41.52445,0.603051435680843,58.9408
396,-109.00233,41.63194,0.603172167108666,58.9526
397,-109.02146,41.73941,0.60842091477589,59.4656
398,-109.04066,41.84687,0.610138779753135,59.6335
399,-109.05991,41.95431,0.607461202239466,59.3718
400,-109.07923,42.06174,0.577546409979373,56.448
401,-109.0986,42.16916,0.575882771829879,56.2854
402,-109.11804,42.27657,0.575651540451167,56.2628
403,-109.13755,42.38396,0.572684412140261,55.9728
404,-109.15711,42.49133,0.583939036767836,57.0728
405,-109.17673,42.59869,0.606649846118587,59.2925
406,-109.19643,42.70604,0.618030317912451,60.4048
407,-109.21618,42.81337,0.60160982058082,58.7999
408,-109.236,42.92068,0.592625560684936,57.9218
409,-109.25588,43.02797,0.583259666699407,57.0064
410,-109.27583,43.13525,0.586601267066103,57.333
411,-109.29584,43.24251,0.589687080509446,57.6346
412,-109.31591,43.34975,0.572077685558066,55.9135
413,-109.33605,43.45697,0.541259453884687,52.9014
414,-109.35626,43.56417,0.544922322627116,53.2594
415,-109.37653,43.67136,0.570116311429788,55.7218
416,-109.39687,43.77852,0.594387421012998,58.094
417,-109.41727,43.88566,0.591017172510886,57.7646
418,-109.43774,43.99279,0.576488475264381,56.3446
419,-109.45828,44.09989,0.559223881085683,54.6572
420,-109.47889,44.20697,0.557166331074223,54.4561
421,-109.49957,44.31402,0.539452575058115,52.7248
422,-109.52031,44.42106,0.533030276986543,52.0971
423,-109.54111,44.52807,0.535391701862947,52.3279
424,-109.562,44.63506,0.530425342959107,51.8425
425,-109.58295,44.74203,0.522634073273745,51.081
426,-109.60397,44.84897,0.510602879546868,49.9051
427,-109.62505,44.95588,0.53604242379596,52.3915
428,-109.64621,45.06277,0.544250114592542,53.1937
429,-109.66744,45.16964,0.540845079068854,52.8609
430,-109.68874,45.27648,0.53679136790754,52.4647
431,-109.71011,45.3833,0.517569492191337,50.586
432,-109.73156,45.49009,0.501920448220541,49.0565
433,-109.75307,45.59685,0.494939511508365,48.3742
434,-109.77466,45.70358,0.498995268965066,48.7706
435,-109.79632,45.81029,0.501942957469797,49.0587
436,-109.81805,45.91697,0.500510550699015,48.9187
437,-109.83986,46.02361,0.497204760501588,48.5956
438,-109.86174,46.13023,0.496339177552958,48.511
439,-109.88369,46.23682,0.49073539763612,47.9633
440,-109.90572,46.34338,0.485864191467767,47.4872
441,-109.92783,46.44991,0.490044772943064,47.8958
442,-109.95,46.55641,0.488840528107913,47.7781
443,-109.97226,46.66288,0.491930434142029,48.0801
444,-109.99459,46.76931,0.485643191565989,47.4656
